Age,Relationship Categories,relationship_other,Care giving experience,sole caregiver or not,hours spent for care_weekly,hours works at job,living situation,living situation_other,fund_ All the care they receive is free or donated,fund_family contributions,"fund_pension, savings, or retirement fund","fund_medicare, medicaid, SSDI, or VA benefits",fund_medical insurance,fund_long-term care insurance,fund_other,received_federal state local fund,"
lacking any support",training_support,access_support,group_support,counselling_support,respite care_support,loved one physician_support,financial_support,employer accommodation_support,support_other,unmet caregiver need_ none,unmet caregiver need_ employer accommodation,unmet caregiver need_training,unmet caregiver need_access,unmet caregiver need_groups,unmet caregiver need_counseling,unmet caregiver need_respite care,unmet caregiver need_loved one physician,unmet caregiver need_financial,unmet caregiver need_other,unmet caregiver need_none of the above,difficulties_obligation,difficulties_physical demands,difficulties_emotional stress,difficulties_life balance,difficulties_boundaries of commit to caregiving,Financial strain,difficulties_loss of sleep,difficulties_help needed not requested,difficulties_depression,difficulties_other,experience anxiety or depression,struggling with restful sleep,"
fluctuating appetite patterns","
difficulty connecting socially","
lost joy in activities",constantly feeling overwhelmed,mental state self description,feel trapped,losing temper,health issues hinder care,constant worry when away,fear of not doing enough,work_hours,Occupations,Name,Bio,Behavior 1,Behavior 2,Behavior 3,Behavior 4,Behavior 5,Core Needs 1,Core Needs 2,Core Needs 3,Core Needs 4,Core Needs 5
60 - 69,Parent,,Less than a year,Yes,1,40,"In their home or apartment, alone",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Good,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,Less than a year,No,15,40,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund",,Medical insurance,,,No,,,,Support groups,Individual counseling to help cope with giving care,,Support from my loved one鈥檚 physicians,,Accommodation from my employer,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,,,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,,,,,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Good,Agree,Strongly disagree,Disagree,Disagree,Disagree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Other family member,,Over 5 years,No,13,35,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,,,,,,Financial support,,,,,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,,,,,,,,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Good,Disagree,Disagree,Disagree,Disagree,Strongly disagree,35,Part-time employed,,,,,,,,,,,,
70 - 79,Friend/Neighbor,,3 - 5 years,No,2,40,"In their home or apartment, alone",,All the care they receive is free or donated,,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,Depression,,Neutral,Agree,Agree,Disagree,Agree,Agree,Good,Neutral,Neutral,Neutral,Disagree,Agree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Other family member,,Over 5 years,Yes,20,20,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,Individual counseling to help cope with giving care,,,Financial support,,,,,,,Support groups,Individual counseling to help cope with giving care,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Poor,Strongly agree,Neutral,Agree,Agree,Strongly disagree,20,Part-time employed,,,,,,,,,,,,
60 - 69,Parent,,3 - 5 years,No,20,15,"In their home or apartment, alone",,,,,,,Long-term care insurance,,No,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,,,,,,,,,,,,Financial support,,,,Physical demands,Emotional stress,,,Financial strain,Loss of sleep,,Depression,,Agree,Agree,Agree,Agree,Agree,Agree,Below average,Agree,Agree,Agree,Agree,Agree,15,Part-time employed,,,,,,,,,,,,
60 - 69,Parent,,Over 5 years,No,8,20,"They live with me, or another caregiver",,All the care they receive is free or donated,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,,,Financial support,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,Loss of sleep,,,,Agree,Agree,Disagree,Agree,Disagree,Neutral,Average,Agree,Neutral,Agree,Disagree,Strongly agree,20,Part-time employed,,,,,,,,,,,,
80 - 89,Other family member,,Over 5 years,No,6,12,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,Long-term care insurance,,No,,,,,,,Support from my loved one鈥檚 physicians,,,,,Accommodation from my employer,,,,,,,,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Poor,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,12,Part-time employed,,,,,,,,,,,,
70 - 79,Other family member,,1 - 2 years,No,10,35,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,Respite care (short-term or long-term breaks for people who provide care),,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Good,Agree,Disagree,Disagree,Strongly disagree,Agree,35,Part-time employed,,,,,,,,,,,,
20 - 29,Other family member,,1 - 2 years,No,10,40,"In their home or apartment, alone",,,Family contributions,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,,,Financial support,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,,,,,Agree,Agree,Strongly disagree,Disagree,Neutral,Strongly agree,Average,Agree,Strongly disagree,Agree,Agree,Strongly agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,Over 5 years,No,10,40,"In a home or apartment, with family or a roommate",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,Help in getting access to services,,,,,Financial support,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,Depression,,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Average,Strongly disagree,Strongly disagree,Neutral,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,3 - 5 years,No,10,45,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,"Classes about giving care, such as giving medications",,,Individual counseling to help cope with giving care,,,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,I need more help but don鈥檛 want to ask,,,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Good,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,45,Full-time employed,,,,,,,,,,,,
90+,Parent,,3 - 5 years,No,3,40,Nursing home or long-term care facility,,,,"Pension, savings, or retirement fund",,,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,Loss of sleep,,Depression,,Agree,Strongly agree,Disagree,Agree,Neutral,Strongly agree,Average,Agree,Neutral,Disagree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Spouse/Partner,,Over 5 years,Yes,4,35,"They live with me, or another caregiver",,,,,,Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,,,,,,Financial strain,Loss of sleep,,,,Agree,Agree,Agree,Agree,Disagree,Agree,Good,Strongly disagree,Agree,Agree,Agree,Agree,35,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,No,10,40,"In a home or apartment, with family or a roommate",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,Help in getting access to services,,Individual counseling to help cope with giving care,,,Financial support,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,,,,,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Below average,Agree,Disagree,Disagree,Neutral,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,Yes,3,15,"They live with me, or another caregiver",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,Yes,,,,Support groups,,,,Financial support,,,,,,,,,Respite care (short-term or long-term breaks for people who provide care),Support from my loved one鈥檚 physicians,,,,,,Emotional stress,,Setting boundaries with how much time I commit to caregiving,,,,,,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Good,Agree,Neutral,Strongly agree,Agree,Agree,15,Part-time employed,,,,,,,,,,,,
60 - 69,Parent,,Over 5 years,Yes,40,60,"They live with me, or another caregiver",,,,,,,,I usually pay for what she doesn't have money for monthly,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,Support groups,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,Loss of sleep,,Depression,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Poor,Agree,Strongly agree,Agree,Agree,Agree,60,Full-time employed,,,,,,,,,,,,
90+,Parent,,Over 5 years,Yes,20,25,In senior housing or a senior care community,,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,Support groups,Individual counseling to help cope with giving care,,Support from my loved one鈥檚 physicians,,,,,,,Help in getting access to services,,,,,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,Depression,,Agree,Agree,Neutral,Neutral,Neutral,Agree,Average,Disagree,Disagree,Agree,Neutral,Agree,25,Part-time employed,,,,,,,,,,,,
80 - 89,Parent,,3 - 5 years,Yes,20,45,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,,,,,Agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Average,Agree,Neutral,Disagree,Disagree,Agree,45,Full-time employed,,,,,,,,,,,,
60 - 69,Parent,,1 - 2 years,Yes,20,40,"In their home or apartment, alone",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,Individual counseling to help cope with giving care,,,Financial support,,,I feel obligated to help because no one else will,,,,Setting boundaries with how much time I commit to caregiving,Financial strain,,I need more help but don鈥檛 want to ask,,,Agree,Agree,Neutral,Agree,Agree,Agree,Average,Agree,Agree,Neutral,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Friend/Neighbor,,Less than a year,No,1,40,Nursing home or long-term care facility,,All the care they receive is free or donated,,,,,,,Yes,,,,Support groups,,,,Financial support,,,,,,,Support groups,,,Support from my loved one鈥檚 physicians,Financial support,,,I feel obligated to help because no one else will,,,,,,Loss of sleep,I need more help but don鈥檛 want to ask,,,Disagree,Disagree,Disagree,Disagree,Strongly disagree,,Average,Disagree,Strongly disagree,Neutral,Disagree,Disagree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,Yes,3,35,"They live with me, or another caregiver",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,Yes,,,,,Individual counseling to help cope with giving care,Respite care (short-term or long-term breaks for people who provide care),Support from my loved one鈥檚 physicians,,,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,,,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,,,,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Average,Neutral,Disagree,Agree,Agree,Strongly agree,35,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,No,16,40,"They live with me, or another caregiver",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,,Physical demands,,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Good,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,1 - 2 years,No,2,40,"In their home or apartment, alone",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,,,Emotional stress,,,Financial strain,Loss of sleep,,,,Agree,Agree,Neutral,Disagree,Disagree,Agree,Average,Agree,Neutral,Agree,Neutral,Agree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Parent,,1 - 2 years,Yes,54,0,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,,Support from my loved one鈥檚 physicians,,,,,,,Help in getting access to services,,Individual counseling to help cope with giving care,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,Loss of sleep,,,,Strongly agree,Agree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Below average,Agree,Agree,Agree,Agree,Agree,0,Retired,,,,,,,,,,,,
70 - 79,Spouse/Partner,,1 - 2 years,Yes,28,0,"They live with me, or another caregiver",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,Individual counseling to help cope with giving care,,Support from my loved one鈥檚 physicians,,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,,,,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Average,Disagree,Disagree,Agree,Agree,,0,Retired,,,,,,,,,,,,
70 - 79,Other family member,,3 - 5 years,No,20,35,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,,,,Accommodation from my employer,,,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,,,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Average,Agree,Strongly disagree,Agree,Strongly disagree,Agree,35,Part-time employed,,,,,,,,,,,,
60 - 69,Other family member,,1 - 2 years,No,2,40,Nursing home or long-term care facility,,,,,,Medical insurance,,,Yes,,,Help in getting access to services,,,,,Financial support,,,,,"Classes about giving care, such as giving medications",,,Individual counseling to help cope with giving care,,,,,,,,Emotional stress,,,,Loss of sleep,,Depression,,Neutral,Neutral,Agree,Agree,Agree,Agree,Good,Neutral,Disagree,Neutral,Neutral,Neutral,40,Full-time employed,,,,,,,,,,,,
20 - 29,Parent,,1 - 2 years,No,5,15,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,Individual counseling to help cope with giving care,,,Financial support,more equality in who is going to be asked to provide care - like my brother doesn't like very far away but it's always my mom and I who are expected to provide care and that's frustrating and feels very sexist and unequal,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,"just feeling like I have to be ""on"" all the time on some level, in case something else goes wrong that's major or in case Dad has some issue that he needs help with, so I can't do stuff like say take CBD edibles even if my back pain is very bad to the point I can't sleep, can't drink because my parents might need me for something and I might be impaired, can't ever feel like I can really truly relax because I always might be needed",Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Below average,Strongly agree,Strongly disagree,Agree,Agree,Disagree,15,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,No,20,40,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,,,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,Depression,,Agree,Agree,Disagree,Agree,Disagree,Neutral,Below average,Disagree,Disagree,Disagree,Disagree,Neutral,40,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,1 - 2 years,No,10,50,"In their home or apartment, alone",,,Family contributions,,,Medical insurance,,,No,,,,Support groups,,,Support from my loved one鈥檚 physicians,,,,,,,Help in getting access to services,,,,,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,I need more help but don鈥檛 want to ask,,,Neutral,Agree,Agree,Neutral,Agree,Agree,Average,Disagree,Neutral,Agree,Agree,Agree,50,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,No,12,40,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,,Support from my loved one鈥檚 physicians,Financial support,,,,,,,,,Respite care (short-term or long-term breaks for people who provide care),Support from my loved one鈥檚 physicians,Financial support,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,,,,Agree,Disagree,Agree,Disagree,Strongly disagree,Agree,Good,Disagree,Disagree,Agree,Disagree,Agree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Spouse/Partner,,1 - 2 years,Yes,40,56,"They live with me, or another caregiver",,,Family contributions,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Average,Disagree,Disagree,Disagree,Disagree,Disagree,56,Full-time employed,,,,,,,,,,,,
60 - 69,Spouse/Partner,,Over 5 years,Yes,21,0,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,,,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Excellent,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,0,Retired,,,,,,,,,,,,
